time,Total_FE
0,0
0.5,2122157.0507148
1.5,2122067.9610159
3.5,2121918.0223466
7.5,2121634.7948728
15.5,2121130.4255528
23.5,2120651.0549218
31.5,2120178.1343097
39.5,2119709.5234916
47.5,2119245.4376559
55.5,2118785.2191154
65.74,2118273.2694181
75.98,2117710.1785394
86.22,2117132.2969328
96.46,2116552.953993
106.7,2115974.8346759
116.94,2115397.8667241
127.18,2114821.5241639
137.42,2114245.2890842
147.66,2113668.7373123
157.9,2113091.5298812
168.14,2112513.3810275
178.38,2111934.055077
188.62,2111353.3312314
198.86,2110771.0188151
209.1,2110186.92823
219.34,2109600.8918004
229.58,2109012.7401586
239.82,2108422.3214394
250.06,2107829.4839595
256.6136,2107417.0440466
263.1672,2107024.6282144
276.2744,2106250.6904462
289.3816,2105478.49881
302.4888,2104703.0847775
315.596,2103922.8069922
328.7032,2103137.2565594
341.8104,2102346.2506747
354.9176,2101549.6636089
368.0248,2100747.4044171
381.132,2099939.4094661
394.2392,2099125.6375254
407.3464,2098306.0722028
420.4536,2097480.713938
433.5608,2096649.5771646
446.668,2095812.6924805
459.7752,2094970.1049022
472.8824,2094121.8694713
485.9896,2093268.0466586
499.0968,2092408.7058874
512.204,2091543.9275358
525.3112,2090673.7883387
538.4184,2089798.3693916
551.5256,2088917.7625518
564.6328,2088032.0468469
577.74,2087141.3124208
590.8472,2086245.6467693
603.9544,2085345.1328233
617.0616,2084439.8599484
630.1688,2083529.910552
643.276,2082615.363686
656.3832,2081696.3071338
669.4904,2080772.8121869
682.5976,2079844.9651358
695.7048,2078912.8348133
708.812,2077976.4990406
721.9192,2077036.0278726
735.0264,2076091.4917045
748.1336,2075142.9574602
761.2408,2074190.4941423
774.348,2073234.1663681
787.4552,2072274.0329543
800.5624,2071310.1598499
813.6696,2070342.6079713
826.7768,2069371.428815
839.884,2068396.6840583
852.9912,2067418.4307103
866.0984,2066436.7197461
879.2056,2065451.6009742
892.3128,2064463.130931
905.42,2063471.3553529
918.5272,2062476.3263852
931.6344,2061478.0915349
944.7416,2060476.6905486
957.8488,2059472.175493
970.956,2058464.585726
984.0632,2057453.9660814
997.1704,2056440.3597208
1010.2776,2055423.8043399
1023.3848,2054404.3401075
1036.492,2053382.005242
1049.5992,2052356.8396886
1062.7064,2051328.8773835
1075.8136,2050298.1521904
1088.9208,2049264.70129
1102.028,2048228.5566162
1115.1352,2047189.7527627
1128.2424,2046148.3236488
1141.3496,2045104.2954715
1154.4568,2044057.6990193
1164.94256,2043218.2204198
1175.42832,2042376.8496802
1192.205536,2041245.6471353
1208.982752,2039961.2560017
1225.759968,2038623.7082743
1242.537184,2037267.9382902
1259.3144,2035904.4813169
1272.7361728,2034809.5697094
1286.1579456,2033711.785319
1299.5797184,2032611.6086412
1313.0014912,2031509.114084
1326.423264,2030404.2770903
1339.8450368,2029297.0929241
1353.2668096,2028187.5667457
1366.6885824,2027075.7022546
1377.42600064,2026184.1778115
1388.16341888,2025290.9000888
1405.343288064,2024089.9583706
1422.523157248,2022727.4365101
1436.2670525952,2021590.3583865
1450.0109479424,2020439.4950345
1463.7548432896,2019283.4683352
1477.4987386368,2018124.5596445
1491.242633984,2016963.3201271
1500,2016221.7065162
